站點名稱,可還
E4,13
E2,16
E6,17
E3,34
E5,6
E4,13
E2,16
E6,17
E3,35
E5,5
E4,13
E2,16
E6,17
E3,36
E5,6
E4,13
E2,17
E6,17
E3,36
E5,9
E4,13
E2,17
E6,17
E3,36
E5,10
E4,13
E2,17
E6,17
E3,36
E5,12
E4,13
E2,18
E6,17
E3,34
E5,12
E4,13
E2,18
E6,18
E3,33
E5,13
E4,13
E2,18
E6,18
E3,33
E5,13
E4,13
E2,18
E6,18
E3,35
E5,13
E4,13
E2,18
E6,18
E3,35
E5,14
E4,13
E2,18
E6,18
E3,35
E5,14
E4,13
E2,18
E6,18
E3,35
E5,13
E4,13
E2,17
E6,18
E3,35
E5,16
E4,13
E2,17
E6,18
E3,35
E5,16
E4,12
E2,17
E6,18
E3,35
E5,16
E4,12
E2,17
E6,18
E3,35
E5,16
E4,12
E2,17
E6,18
E3,35
E5,16
E4,12
E2,17
E6,18
E3,35
E5,16
E4,12
E2,17
E6,18
E3,35
E5,16
E4,13
E2,17
E6,18
E3,35
E5,16
E4,13
E2,17
E6,18
E3,38
E5,16
E4,13
E2,17
E6,18
E3,38
E5,5
E4,13
E2,17
E6,18
E3,38
E5,5
E4,13
E2,17
E6,18
E3,38
E5,5
E4,13
E2,17
E6,18
E3,39
E5,5
E4,13
E2,17
E6,18
E3,39
E5,6
E4,13
E2,17
E6,18
E3,39
E5,6
E4,13
E2,17
E6,18
E3,39
E5,6
E4,13
E2,17
E6,18
E3,39
E5,5
E4,13
E2,17
E6,18
E3,39
E5,5
E4,13
E2,17
E6,18
E3,39
E5,4
E4,13
E2,17
E6,18
E3,39
E5,3
E4,12
E2,17
E6,18
E3,38
E5,3
E4,11
E2,17
E6,18
E3,38
E5,2
E4,8
E2,17
E6,18
E3,38
E5,2
E4,8
E2,17
E6,18
E3,38
E5,3
E4,10
E2,17
E6,19
E3,36
E5,3
E4,8
E2,17
E6,19
E3,34
E5,6
E4,7
E2,17
E6,18
E3,34
E5,6
E4,7
E2,17
E6,17
E3,28
E5,6
E4,7
E2,15
E6,16
E3,25
E5,5
E4,6
E2,15
E6,16
E3,26
E5,9
E4,3
E2,14
E6,18
E3,21
E5,9
E4,9
E2,9
E6,18
E3,20
E5,13
E4,10
E2,4
E6,18
E3,19
E5,14
E4,10
E2,2
E6,17
E3,20
E5,19
E4,8
E2,2
E6,19
E3,19
E5,17
E4,10
E2,4
E6,18
E3,25
E5,19
E4,8
E2,5
E6,17
E3,30
E5,18
E4,10
E2,7
E6,18
E3,29
E5,17
E4,10
E2,10
E6,18
E3,39
E5,19
E4,5
E2,11
E6,15
E3,44
E5,18
E4,7
E2,13
E6,16
E3,46
E5,18
E4,8
E2,17
E6,19
E3,46
E5,19
E4,9
E2,19
E6,19
E3,45
E5,19
E4,9
E2,21
E6,17
E3,46
E5,19
E4,12
E2,21
E6,16
E3,45
E5,19
E4,12
E2,20
E6,17
E3,46
E5,19
E4,13
E2,19
E6,17
E3,46
E5,18
E4,13
E2,19
E6,19
E3,46
E5,19
E4,11
E2,20
E6,19
E3,46
E5,18
E4,12
E2,20
E6,19
E3,46
E5,19
E4,12
E2,19
E6,18
E3,46
E5,19
E4,12
E2,20
E6,16
E3,45
E5,19
E4,11
E2,20
E6,17
E3,46
E5,19
E4,13
E2,21
E6,17
E3,45
E5,19
E4,13
E2,21
E6,18
E3,45
E5,19
E4,12
E2,21
E6,19
E3,45
E5,19
E4,12
E2,16
E6,18
E3,45
E5,19
E4,13
E2,19
E6,19
E3,46
E5,19
E4,13
E2,18
E6,18
E3,46
E5,19
E4,13
E2,20
E6,17
E3,46
E5,19
E4,12
E2,21
E6,17
E3,46
E5,19
E4,12
E2,17
E6,16
E3,45
E5,19
E4,11
E2,17
E6,17
E3,46
E5,19
E4,13
E2,18
E6,17
E3,46
E5,19
E4,12
E2,18
E6,19
E3,44
E5,19
E4,13
E2,18
E6,19
E3,46
E5,19
E4,12
E2,19
E6,16
E3,45
E5,17
E4,13
E2,21
E6,16
E3,44
E5,16
E4,12
E2,21
E6,15
E3,46
E5,18
E4,12
E2,21
E6,15
E3,44
E5,18
E4,13
E2,21
E6,17
E3,43
E5,18
E4,11
E2,20
E6,19
E3,43
E5,18
E4,13
E2,19
E6,19
E3,46
E5,18
E4,12
E2,17
E6,18
E3,45
E5,18
E4,10
E2,16
E6,19
E3,46
E5,15
E4,12
E2,16
E6,18
E3,46
E5,17
E4,12
E2,19
E6,19
E3,44
E5,18
E4,11
E2,19
E6,17
E3,41
E5,16
E4,5
E2,18
E6,18
E3,45
E5,14
E4,8
E2,18
E6,18
E3,46
E5,15
E4,12
E2,20
E6,17
E3,45
E5,16
E4,8
E2,21
E6,18
E3,44
E5,12
E4,13
E2,17
E6,17
E3,36
E5,9
